timestamp,sensor_id,vehicle_speed (km/h),latitude,longitude,traffic_pattern,incident_report,accident_hotspot,event_type
2024-12-06 08:00:00,Vehicle_1,114,34.54926150831106,-79.30136853880121,Clear,None,0,Accident
2024-12-06 08:15:00,Vehicle_2,63,36.8189725647745,-97.57893133276576,Heavy,Breakdown,1,Normal
2024-12-06 08:30:00,Vehicle_3,67,39.89604505169282,-111.73397542150222,Moderate,Police Blockade,0,Accident
2024-12-06 08:45:00,Vehicle_4,24,34.22040303269379,-99.54087923662124,Moderate,Police Blockade,0,Congestion
2024-12-06 09:00:00,Vehicle_5,62,38.48441454374566,-109.6230577482927,Heavy,Accident,0,Congestion
2024-12-06 09:15:00,Vehicle_6,33,38.677279519159455,-87.59237957097622,Heavy,Police Blockade,0,Accident
2024-12-06 09:30:00,Vehicle_7,79,37.98355446411157,-97.84793593532115,Clear,Traffic Jam,0,Normal
2024-12-06 09:45:00,Vehicle_8,44,37.95666123733266,-106.16079872767178,Clear,Traffic Jam,0,Accident
2024-12-06 10:00:00,Vehicle_9,34,38.23071478990284,-73.82381311916097,Heavy,Accident,0,Normal
2024-12-06 10:15:00,Vehicle_10,39,36.13303754783956,-106.65777975084893,Light,Accident,0,Congestion
2024-12-06 10:30:00,Vehicle_1,56,39.0477388333774,-95.53222571924911,Light,Breakdown,1,Congestion
2024-12-06 10:45:00,Vehicle_2,66,36.26349187270031,-77.03314129864162,Light,Accident,0,Normal
2024-12-06 11:00:00,Vehicle_3,88,37.918111059010904,-74.2288396752307,Moderate,Police Blockade,0,Accident
2024-12-06 11:15:00,Vehicle_4,100,38.55062888574194,-118.37285438026655,Moderate,Accident,0,Congestion
2024-12-06 11:30:00,Vehicle_5,91,36.213526725528226,-101.67355545952172,Moderate,None,1,Congestion
2024-12-06 11:45:00,Vehicle_6,113,34.22037485424911,-110.92734252563203,Moderate,Accident,1,Accident
2024-12-06 12:00:00,Vehicle_7,115,34.92046838108383,-112.48874535053679,Clear,Police Blockade,0,Congestion
2024-12-06 12:15:00,Vehicle_8,96,36.867912662269234,-98.45542748977773,Moderate,Accident,0,Congestion
2024-12-06 12:30:00,Vehicle_9,63,38.20556312915181,-114.0515257258343,Moderate,Police Blockade,1,Congestion
2024-12-06 12:45:00,Vehicle_10,43,36.03445449438456,-83.13106995735178,Light,Traffic Jam,0,Accident
2024-12-06 13:00:00,Vehicle_1,25,35.9857374193907,-108.3462228448104,Moderate,Police Blockade,0,Accident
2024-12-06 13:15:00,Vehicle_2,38,39.10920356232421,-79.91782381292626,Light,None,0,Congestion
2024-12-06 13:30:00,Vehicle_3,45,36.04452343517641,-94.55747827833284,Moderate,Accident,0,Congestion
2024-12-06 13:45:00,Vehicle_4,103,37.44630600905868,-95.60845402669736,Heavy,Police Blockade,0,Congestion
2024-12-06 14:00:00,Vehicle_5,79,39.180912489532474,-91.42794442727731,Light,Accident,0,Normal
2024-12-06 14:15:00,Vehicle_6,60,39.39085482236847,-77.37719618182187,Clear,Traffic Jam,1,Accident
2024-12-06 14:30:00,Vehicle_7,50,38.52176142069445,-105.36550058651996,Clear,Accident,0,Normal
2024-12-06 14:45:00,Vehicle_8,24,39.5665924532276,-93.17240022552485,Clear,Police Blockade,0,Normal
2024-12-06 15:00:00,Vehicle_9,110,35.69777062911989,-76.54827774338833,Heavy,Accident,0,Congestion
2024-12-06 15:15:00,Vehicle_10,60,35.71216423999154,-79.46245729814135,Moderate,Traffic Jam,1,Accident
2024-12-06 15:30:00,Vehicle_1,64,36.82673946815028,-104.44921741855654,Clear,None,1,Congestion
2024-12-06 15:45:00,Vehicle_2,113,36.29562631669231,-82.1326623538796,Heavy,Breakdown,0,Normal
2024-12-06 16:00:00,Vehicle_3,37,39.48914525098691,-98.14041558889059,Moderate,None,0,Normal
2024-12-06 16:15:00,Vehicle_4,44,38.8988659510139,-78.06092230081191,Moderate,Accident,1,Normal
2024-12-06 16:30:00,Vehicle_5,59,34.852504826472114,-103.96538290741704,Heavy,Breakdown,0,Congestion
2024-12-06 16:45:00,Vehicle_6,91,37.39884902944284,-106.30675072256199,Moderate,None,0,Normal
2024-12-06 17:00:00,Vehicle_7,113,36.800411014821876,-78.19128484143945,Clear,Police Blockade,0,Congestion
2024-12-06 17:15:00,Vehicle_8,46,38.05557112735091,-106.15732574034803,Moderate,Police Blockade,0,Congestion
2024-12-06 17:30:00,Vehicle_9,55,35.13693572686947,-103.97387670428677,Heavy,Accident,0,Accident
2024-12-06 17:45:00,Vehicle_10,59,37.89357428584537,-85.31412481393829,Light,Police Blockade,1,Congestion
2024-12-06 18:00:00,Vehicle_1,80,38.513346363560544,-109.61422041382191,Heavy,Police Blockade,1,Accident
2024-12-06 18:15:00,Vehicle_2,44,38.41359759108052,-109.24660416276615,Moderate,Traffic Jam,0,Congestion
